stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.032363100000111444,,0.015322799999921699,0.032363100000111444,0.5520091000003049,0.5520091000003049,0.565683700000136,0.8659906000002593,1.0063804000001255,right,10.0,1,1,0.44463309999991907,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
1,2,8.0,1.016278500000226,,1.0066624000000957,1.016278500000226,1.515632800000276,1.515632800000276,1.515632800000276,1.8159361000002718,1.8173532999999225,left,-8.0,1,1,0.2947759999997288,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
2,2,6.0,1.8324944999999389,,1.8175773000002664,1.8324944999999389,2.332187100000283,2.332187100000283,2.332187100000283,2.632127500000024,2.666266700000051,right,6.0,1,1,0.3188158999996631,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
3,1,4.0,2.6821466999999757,,2.666412600000058,2.6821466999999757,3.1656011000000035,3.1656011000000035,3.1821273000000474,,3.4330024999999296,left,-4.0,0,0,0.2596168999998554,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
4,1,5.0,3.4487426000000596,,3.4331362000002628,3.4487426000000596,3.9487874999999804,3.9487874999999804,3.9487874999999804,,4.216393000000153,left,-5.0,0,0,0.2661401999998816,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
5,1,6.0,4.2320425000002615,,4.216519999999946,4.2320425000002615,4.732103400000142,4.732103400000142,4.732103400000142,5.032035400000041,5.099452500000098,right,6.0,0,0,0.35124069999983476,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
6,1,7.0,5.1153542000001835,,5.099579300000187,5.1153542000001835,5.598701500000061,5.598701500000061,5.615463399999953,5.898796200000106,6.016102399999909,right,7.0,1,1,0.4010177999998632,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
7,1,7.0,6.0319964000000255,,6.016262800000277,6.0319964000000255,6.515982899999926,6.515982899999926,6.53249679999999,6.815483500000028,6.916016000000127,left,-7.0,1,1,0.39438499999960186,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
8,1,7.0,6.931881500000145,,6.91614699999991,6.931881500000145,7.415348100000301,7.415348100000301,7.431999800000085,7.71530840000014,7.766032200000154,left,-7.0,1,1,0.33447750000004817,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
9,1,6.0,7.781900599999972,,7.7661653000000115,7.781900599999972,8.266109000000142,8.266109000000142,8.282323400000223,8.565133099999912,8.599301799999921,left,-6.0,1,1,0.3254206999999951,931053,001,2024-09-12_19h24.15.950,1,2024.2.1post4,59.9697632454657,2024-09-12 19h24.18.817509 +0530,
