2.2793 	INFO 	Loaded monitor calibration from ['2024_08_23 11:51']
3.2144 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23ABF0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AB90>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23A9E0>, gamma=None, gammaErrorPolicy='raise', infoMsg=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x000002550E26C3A0>, multiSample=False, name='window1', numSamples=2, pos=[183.0, 84.0], screen=0, size=array([1000,  600]), stencilBits=0, stereo=False, title='PsychoPy', units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
3.2145 	EXP 	window1: backgroundImage = ''
3.2145 	EXP 	window1: backgroundFit = 'none'
3.2147 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2148 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2168 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2176 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2619 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2621 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2632 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2643 	EXP 	window1: mouseVisible = <method-wrapper '__getattribute__' of attributeSetter object at 0x000002550E23AD10>
3.2986 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
3.2986 	EXP 	window1: recordFrameIntervals = False
3.4621 	EXP 	window1: recordFrameIntervals = True
3.6457 	EXP 	Screen (0) actual frame rate measured at 59.97Hz
3.6458 	EXP 	window1: recordFrameIntervals = False
3.6458 	EXP 	window1: mouseVisible = True
3.6493 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
5.1232 	INFO 	keyboard.Keyboard is using iohub backend.
5.1233 	INFO 	keyboard.Keyboard is using iohub backend.
5.1233 	EXP 	1: status = STARTED
5.1235 	EXP 	window1: mouseVisible = True
5.1265 	EXP 	Created fixation = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'center'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([1, 1, 1]), fillColorSpace='rgb', fillRGB=array([1, 1, 1]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1, 1, 1]), lineWidth=1.0, name='fixation', opacity=1, ori=0.0, pos=array([0., 0.]), size=array([0.1, 0.1]), units='height', vertices=ndarray(...), win=Window(...), windingRule=None)
5.1266 	EXP 	window1: mouseVisible = True
5.1296 	EXP 	Created grating = GratingStim(__class__=<class 'psychopy.visual.grating.GratingStim'>, anchor='center', autoDraw=False, autoLog=True, blendmode='avg', color=array([0.5, 0.5, 0.5]), colorSpace='rgb', contrast=0.5, depth=-2.0, draggable=False, interpolate=True, mask='gauss', maskParams=None, name='grating', opacity=1, ori=1.0, phase=array([0., 0.]), pos=array([0., 0.]), rgbPedestal=array([0., 0., 0.]), sf=array([8., 8.]), size=array([0.3, 0.3]), tex='sin', texRes=128.0, units='height', win=Window(...))
0.0152 	WARNING 	Increasing number of minimum required reversals to the number of step sizes, (4).
0.0324 	EXP 	grating: ori = 10.0
0.0324 	EXP 	fixation: autoDraw = True
0.5523 	INFO 	Keyboard events cleared
0.5520 	EXP 	grating: autoDraw = True
0.5520 	EXP 	grating: tex = 'sin'
0.5657 	EXP 	fixation: autoDraw = False
0.8660 	EXP 	grating: autoDraw = False
1.0085 	DATA 	Keypress: right
1.0163 	EXP 	fixation: autoDraw = False
1.0163 	EXP 	grating: autoDraw = False
1.0163 	EXP 	grating: ori = -8.0
1.0163 	EXP 	fixation: autoDraw = True
1.5160 	INFO 	Keyboard events cleared
1.5156 	EXP 	fixation: autoDraw = False
1.5156 	EXP 	grating: autoDraw = True
1.8159 	EXP 	grating: autoDraw = False
1.8187 	DATA 	Keypress: left
1.8325 	EXP 	fixation: autoDraw = False
1.8325 	EXP 	grating: autoDraw = False
1.8325 	EXP 	grating: ori = 6.0
1.8325 	EXP 	fixation: autoDraw = True
2.3325 	INFO 	Keyboard events cleared
2.3322 	EXP 	fixation: autoDraw = False
2.3322 	EXP 	grating: autoDraw = True
2.6321 	EXP 	grating: autoDraw = False
2.6672 	DATA 	Keypress: right
2.6821 	EXP 	fixation: autoDraw = False
2.6821 	EXP 	grating: autoDraw = False
2.6821 	EXP 	grating: ori = -4.0
2.6821 	EXP 	fixation: autoDraw = True
3.1659 	INFO 	Keyboard events cleared
3.1656 	EXP 	grating: autoDraw = True
3.1821 	EXP 	fixation: autoDraw = False
3.4339 	DATA 	Keypress: right
3.4487 	EXP 	fixation: autoDraw = False
3.4487 	EXP 	grating: autoDraw = False
3.4487 	EXP 	grating: ori = -5.0
3.4487 	EXP 	fixation: autoDraw = True
3.9491 	INFO 	Keyboard events cleared
3.9488 	EXP 	fixation: autoDraw = False
3.9488 	EXP 	grating: autoDraw = True
4.2172 	DATA 	Keypress: right
4.2320 	EXP 	fixation: autoDraw = False
4.2320 	EXP 	grating: autoDraw = False
4.2320 	EXP 	grating: ori = 6.0
4.2320 	EXP 	fixation: autoDraw = True
4.7324 	INFO 	Keyboard events cleared
4.7321 	EXP 	fixation: autoDraw = False
4.7321 	EXP 	grating: autoDraw = True
5.0320 	EXP 	grating: autoDraw = False
5.1002 	DATA 	Keypress: left
5.1154 	EXP 	fixation: autoDraw = False
5.1154 	EXP 	grating: autoDraw = False
5.1154 	EXP 	grating: ori = 7.0
5.1154 	EXP 	fixation: autoDraw = True
5.5990 	INFO 	Keyboard events cleared
5.5987 	EXP 	grating: autoDraw = True
5.6155 	EXP 	fixation: autoDraw = False
5.8988 	EXP 	grating: autoDraw = False
6.0170 	DATA 	Keypress: right
6.0320 	EXP 	fixation: autoDraw = False
6.0320 	EXP 	grating: autoDraw = False
6.0320 	EXP 	grating: ori = -7.0
6.0320 	EXP 	fixation: autoDraw = True
6.5165 	INFO 	Keyboard events cleared
6.5160 	EXP 	grating: autoDraw = True
6.5325 	EXP 	fixation: autoDraw = False
6.8155 	EXP 	grating: autoDraw = False
6.9169 	DATA 	Keypress: left
6.9319 	EXP 	fixation: autoDraw = False
6.9319 	EXP 	grating: autoDraw = False
6.9319 	EXP 	grating: ori = -7.0
6.9319 	EXP 	fixation: autoDraw = True
7.4157 	INFO 	Keyboard events cleared
7.4153 	EXP 	grating: autoDraw = True
7.4320 	EXP 	fixation: autoDraw = False
7.7153 	EXP 	grating: autoDraw = False
7.7669 	DATA 	Keypress: left
7.7819 	EXP 	fixation: autoDraw = False
7.7819 	EXP 	grating: autoDraw = False
7.7819 	EXP 	grating: ori = -6.0
7.7819 	EXP 	fixation: autoDraw = True
8.2667 	INFO 	Keyboard events cleared
8.2661 	EXP 	grating: autoDraw = True
8.2823 	EXP 	fixation: autoDraw = False
8.5651 	EXP 	grating: autoDraw = False
8.6002 	DATA 	Keypress: left
8.6151 	EXP 	fixation: autoDraw = False
8.6151 	EXP 	grating: autoDraw = False
8.6151 	EXP 	grating: ori = -6.0
8.6151 	EXP 	fixation: autoDraw = True
9.0988 	INFO 	Keyboard events cleared
9.0985 	EXP 	grating: autoDraw = True
9.1152 	EXP 	fixation: autoDraw = False
9.3984 	EXP 	grating: autoDraw = False
9.4833 	DATA 	Keypress: left
9.4984 	EXP 	fixation: autoDraw = False
9.4984 	EXP 	grating: autoDraw = False
9.4984 	EXP 	grating: ori = 6.0
9.4984 	EXP 	fixation: autoDraw = True
9.9824 	INFO 	Keyboard events cleared
9.9821 	EXP 	grating: autoDraw = True
9.9985 	EXP 	fixation: autoDraw = False
10.2817 	EXP 	grating: autoDraw = False
10.3671 	DATA 	Keypress: right
10.3819 	EXP 	fixation: autoDraw = False
10.3819 	EXP 	grating: autoDraw = False
10.3819 	EXP 	grating: ori = -5.0
10.3819 	EXP 	fixation: autoDraw = True
10.8821 	INFO 	Keyboard events cleared
10.8818 	EXP 	fixation: autoDraw = False
10.8818 	EXP 	grating: autoDraw = True
11.0852 	DATA 	Keypress: left
11.0988 	EXP 	fixation: autoDraw = False
11.0988 	EXP 	grating: autoDraw = False
11.0988 	EXP 	grating: ori = 5.0
11.0988 	EXP 	fixation: autoDraw = True
11.4663 	DATA 	Keypress: right
11.5988 	INFO 	Keyboard events cleared
11.5985 	EXP 	fixation: autoDraw = False
11.5985 	EXP 	grating: autoDraw = True
11.8501 	DATA 	Keypress: left
11.8650 	EXP 	fixation: autoDraw = False
11.8650 	EXP 	grating: autoDraw = False
11.8650 	EXP 	grating: ori = 5.5
11.8650 	EXP 	fixation: autoDraw = True
12.2530 	DATA 	Keypress: left
12.3496 	INFO 	Keyboard events cleared
12.3491 	EXP 	grating: autoDraw = True
12.3659 	EXP 	fixation: autoDraw = False
12.6483 	EXP 	grating: autoDraw = False
12.7998 	DATA 	Keypress: right
12.8149 	EXP 	fixation: autoDraw = False
12.8149 	EXP 	grating: autoDraw = False
12.8149 	EXP 	grating: ori = 5.5
12.8149 	EXP 	fixation: autoDraw = True
